Timestamp,still01-bf-pid.DV01-lit4003.level-% => (Aggregate=TimeAverage2),still01-bf-pid.CV01-pmp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volflow-gpm => (Aggregate=TimeAverage2),still01-bf-pid.SP.volflow-gpm => (Aggregate=TimeAverage2)
7/15/2025 8:53:29 AM,41.722282,48.68,82.649445,83
7/15/2025 8:53:30 AM,41.722282,48.68,82.649445,83
7/15/2025 8:53:31 AM,41.722282,48.69428,82.649445,83
7/15/2025 8:53:32 AM,41.722282,48.8,82.773357609,83
7/15/2025 8:53:33 AM,41.716304567,48.7887,83.215256,83
7/15/2025 8:53:34 AM,41.644653,48.7,83.215256,83
7/15/2025 8:53:35 AM,41.644653,48.71008,83.215256,83
7/15/2025 8:53:36 AM,41.644653,48.79,83.215256,83
7/15/2025 8:53:37 AM,41.644653,48.76891,83.215256,83
7/15/2025 8:53:38 AM,41.644653,48.6,83.08470026,83
7/15/2025 8:53:39 AM,41.644653,48.62016,82.60802,83
7/15/2025 8:53:40 AM,41.644653,48.78,82.60802,83
7/15/2025 8:53:41 AM,41.644653,48.77216,82.60802,83
7/15/2025 8:53:42 AM,41.644653,48.71,82.373296308,83
7/15/2025 8:53:43 AM,41.644653,48.71327,81.526344,83
7/15/2025 8:53:44 AM,41.644653,48.74,81.526344,83
7/15/2025 8:53:45 AM,41.644653,48.72692,81.526344,83
7/15/2025 8:53:46 AM,41.644653,48.62,81.526344,83
7/15/2025 8:53:47 AM,41.641950957,48.63776,81.526344,83
7/15/2025 8:53:48 AM,41.604324,48.78,81.932621074,83
7/15/2025 8:53:49 AM,41.604324,48.76181,83.424835,83
7/15/2025 8:53:50 AM,41.604324,48.61,83.424835,83
7/15/2025 8:53:51 AM,41.604324,48.6142,83.424835,83
7/15/2025 8:53:52 AM,41.604324,48.65,83.455163085,83
7/15/2025 8:53:53 AM,41.604324,48.64688,83.56857,83
7/15/2025 8:53:54 AM,41.604324,48.62,83.56857,83
7/15/2025 8:53:55 AM,41.604324,48.60933,83.56857,83
7/15/2025 8:53:56 AM,41.604324,48.51,83.56857,83
7/15/2025 8:53:57 AM,41.604324,48.50394,83.56857,83
7/15/2025 8:53:58 AM,41.604324,48.45,83.34829904,83
7/15/2025 8:53:59 AM,41.604324,48.46738,82.509575,83
7/15/2025 8:54:00 AM,41.604324,48.67,82.509575,83
7/15/2025 8:54:01 AM,41.604324,48.66032,82.509575,83
7/15/2025 8:54:02 AM,41.604324,48.56,82.62984907,83
7/15/2025 8:54:03 AM,41.604324,48.56264,83.33337,83
7/15/2025 8:54:04 AM,41.604324,48.59,83.33337,83
7/15/2025 8:54:05 AM,41.604324,48.60344,83.33337,83
7/15/2025 8:54:06 AM,41.604324,48.75,83.33337,83
7/15/2025 8:54:07 AM,41.601701128,48.75082,83.33337,83
7/15/2025 8:54:08 AM,41.51065,48.76,83.34234743,83
7/15/2025 8:54:09 AM,41.51065,48.7552,83.4019,83
7/15/2025 8:54:10 AM,41.51065,48.7,83.3029708,83
7/15/2025 8:54:11 AM,41.51065,48.71005,82.57749,83
7/15/2025 8:54:12 AM,41.51065,48.85,82.57749,83
7/15/2025 8:54:13 AM,41.51065,48.84604,82.57749,83
7/15/2025 8:54:14 AM,41.51065,48.79,82.57749,83
7/15/2025 8:54:15 AM,41.510590195,48.79816,82.57749,83
7/15/2025 8:54:16 AM,41.504005,48.91,82.581690448,83
7/15/2025 8:54:17 AM,41.504005,48.91,82.610306,83
7/15/2025 8:54:18 AM,41.504005,48.91,82.610306,83
7/15/2025 8:54:19 AM,41.504005,48.91536,82.610306,83
7/15/2025 8:54:20 AM,41.504005,48.99,82.66374128,83
7/15/2025 8:54:21 AM,41.50350692,48.99067,83.0556,83
