Timestamp,still01-steam-pid.SP => (Aggregate=TimeAverage2),still01-steam-pid.DV01_PIT4055 => (Aggregate=TimeAverage2),still01-steam-pid.PV01-TIT4016 => (Aggregate=TimeAverage2),still01-steam-pid.PV02-TIT4015 => (Aggregate=TimeAverage2),still01-steam-pid.PV03-TIT4009 => (Aggregate=TimeAverage2),still01-steam-pid.DV02-PIT4011 => (Aggregate=TimeAverage2),still01-steam-pid.DV03-PIT4017 => (Aggregate=TimeAverage2),still01-steam-pid.DV04-FIT4054 => (Aggregate=TimeAverage2),still01-steam-pid.DV05-LIT4019 => (Aggregate=TimeAverage2),still01-steam-pid.CV-FCV4054 => (Aggregate=TimeAverage2)
7/11/2025 4:22:43 PM,211.8,66.8940269768,210.1501,201.1983,195.55266416,0.76647586,1.8314410952,5155.1807447,38.9130809988,38
7/11/2025 4:22:48 PM,211.8,66.946556,210.18599368,201.197275316,195.62663,0.768778286308,1.8338035,5137.69417766,43.571587654,38
7/11/2025 4:22:53 PM,211.8,66.946556,210.271538112,201.226947702,195.62663,0.7689092,1.8338035,5161.9473652,42.7525110042,38
7/11/2025 4:22:58 PM,211.8,66.9498450956,210.3147306,201.23936,195.62663,0.7689092,1.8338035,5175.33265526,40.023970167,38
7/11/2025 4:23:03 PM,211.8,66.98507,210.34233,201.23936,195.66757124,0.7689092,1.8338035,5143.6014348,38.3500155648,38
7/11/2025 4:23:08 PM,211.8,66.9411386,210.34233,201.245794582,195.69176,0.7689092,1.8338035,5141.26274558,40.851122267,38
7/11/2025 4:23:13 PM,211.8,66.951630104,210.33912516,201.30159,195.69176,0.7689092,1.8338035,5159.11453758,43.346104868,38
7/11/2025 4:23:18 PM,211.8,66.954317036,210.33723,201.325913176,195.69176,0.7689092,1.8338035,5172.25640542,42.5115237704,38
7/11/2025 4:23:23 PM,211.8,66.9460072248,210.386835248,201.32852,195.707729096,0.7689092,1.8338035,5182.088654,39.7737211832,38
7/11/2025 4:23:28 PM,211.8,66.966354,210.41632,201.32852,195.8055,0.7689092,1.8338035,5157.27794904,38.1037857524,38
7/11/2025 4:23:33 PM,211.8,66.9560108128,210.412504006,201.32852,195.8055,0.7689092,1.8338035,5175.06135216,40.734079669,38
7/11/2025 4:23:38 PM,211.8,66.92965,210.41023,201.378743876,195.82578555,0.7689092,1.8338035,5176.18745368,43.69890368,38
7/11/2025 4:23:43 PM,211.8,66.950707764,210.393468388,201.38425,195.87261534,0.7689092,1.8338035,5157.80098834,42.9257612972,38
7/11/2025 4:23:48 PM,211.8,66.9581416,210.38342,201.38425,195.90665,0.7689092,1.8338035,5123.8373868,40.0529442472,38
7/11/2025 4:23:53 PM,211.8,66.922938021,210.394904792,201.38425,195.942825104,0.7689092,1.8338035,5159.7336803,38.3177990492,38
7/11/2025 4:23:58 PM,211.8,66.915326323,210.4346,201.45766968,195.97394,0.7689092,1.8338035,5161.19789068,40.8367124416,38
7/11/2025 4:24:03 PM,211.8,66.950867453,210.4346,201.471817272,196.01571676,0.7689092,1.8338035,5149.76034528,43.8540378914,38
7/11/2025 4:24:08 PM,211.8,66.9644,210.4346,201.48573,196.053034768,0.7689092,1.8338035,5139.25951924,43.1395593212,38
7/11/2025 4:24:13 PM,211.8,66.97869314,210.4346,201.48573,196.04912,0.7689092,1.8338035,5158.57918912,39.907470624,38
7/11/2025 4:24:18 PM,211.8,66.961322778,210.455927054,201.48573,196.03865244,0.7689092,1.8338035,5165.99680582,38.3149312328,38
7/11/2025 4:24:23 PM,211.8,66.934814,210.48521,201.48573,196.01572,0.7689092,1.8338035,5162.47968492,40.9325790966,38
7/11/2025 4:24:28 PM,211.8,66.90115296,210.487444726,201.48573,196.01572,0.7689092,1.8338035,5161.5458417,43.928864287,38
7/11/2025 4:24:33 PM,211.8,66.87929,210.59584,201.48573,196.05720552,0.7689092,1.83383472848,5156.4628169,43.069000182,38
7/11/2025 4:24:38 PM,211.8,66.870497616,210.59584,201.509477342,196.09662,0.76882461584,1.8342278,5146.470401,40.768560786,38
7/11/2025 4:24:43 PM,211.8,66.858958912,210.58909909,201.53386,196.09662,0.7688186,1.8342278,5150.2614565,37.9015389032,38
7/11/2025 4:24:48 PM,211.8,66.86917423,210.600911218,201.53386,196.119582668,0.7688186,1.8342278,5147.37562518,39.858909509,38
7/11/2025 4:24:53 PM,211.8,66.84755406,210.62308,201.53386,196.127338768,0.7688186,1.8342278,5162.54835406,43.3180896644,38
7/11/2025 4:24:58 PM,211.8,66.825460264,210.627575398,201.53386,196.11502,0.7688186,1.8342278,5154.82578388,43.0064964356,38
7/11/2025 4:25:03 PM,211.8,66.796659344,210.630818566,201.53386,196.11502,0.7688186,1.8342278,5153.9230628,40.457747875,38
7/11/2025 4:25:08 PM,211.8,66.781064706,210.62894,201.589379932,196.1361922,0.7688186,1.8342278,5169.9109268,38.1677348796,38
7/11/2025 4:25:13 PM,211.8,66.76575205,210.64194068,201.59613,196.126567864,0.7688186,1.8342278,5143.01072612,39.654930991,38
7/11/2025 4:25:18 PM,211.8,66.7742117012,210.68924,201.59613,196.123818708,0.7688186,1.8342278,5137.60208622,43.4390213644,38
7/11/2025 4:25:23 PM,211.8,66.786156,210.674824928,201.59613,196.11053,0.7688186,1.8342278,5138.9191412,43.172044338,38
7/11/2025 4:25:28 PM,211.8,66.7857024016,210.6215,201.59613,196.11053,0.7688186,1.8342278,5130.1433554,40.443381104,38
7/11/2025 4:25:33 PM,211.8,66.787908448,210.626911024,201.59613,196.11053,0.7688186,1.8342278,5137.67520796,38.528967637,38
